2025-11-30 13:53:02.457; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:53:03.461; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:53:04.464; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:53:05.467; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:53:06.470; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:53:07.473; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:53:08.476; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.497; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:53:09.479; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:53:10.483; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:53:11.486; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:53:12.488; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:53:13.492; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:53:14.495; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:53:15.498; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:53:16.501; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.497; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:53:17.504; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:53:18.507; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:53:19.510; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:53:20.512; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:53:21.515; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:54:11.152; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:54:12.154; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
